AREA_LANDZONE,NON_RETAIL,AVER_ROOMS,OWNER_OCCUPIED,INDEX_HIGHWAYS,TAX,PTRATIO,MEDIAN_VAL
0,19.58,5.468,100,E,403,14.7,15.6
0,19.58,4.903,97.8,E,403,14.7,11.8
0,19.58,6.13,100,E,403,14.7,13.8
0,19.58,5.628,100,E,403,14.7,15.6
0,19.58,4.926,95.7,E,403,14.7,14.6
0,19.58,5.186,93.8,E,403,14.7,17.8
0,19.58,5.597,94.9,E,403,14.7,15.4
0,19.58,6.122,97.3,E,403,14.7,21.5
0,19.58,5.404,100,E,403,14.7,19.6
0,19.58,5.012,88,E,403,14.7,15.3
0,19.58,5.709,98.5,E,403,14.7,19.4
0,19.58,6.129,96,E,403,14.7,17
0,19.58,6.152,82.6,E,403,14.7,15.6
0,19.58,5.272,94,E,403,14.7,13.1
0,19.58,6.943,97.4,E,403,14.7,41.3
0,19.58,6.066,100,E,403,14.7,24.3
0,19.58,6.51,100,E,403,14.7,23.3
0,19.58,6.25,92.6,E,403,14.7,27
0,19.58,8.375,93.9,E,403,14.7,50
0,19.58,5.854,91.8,E,403,14.7,22.7
0,19.58,6.101,93,E,403,14.7,25
0,19.58,5.877,79.2,E,403,14.7,23.8
0,19.58,6.319,96.1,E,403,14.7,23.8
0,19.58,6.402,95.2,E,403,14.7,22.3
0,19.58,5.875,94.6,E,403,14.7,17.4
0,19.58,5.88,97.3,E,403,14.7,19.1
0,4.05,5.572,88.5,E,296,16.6,23.1
0,4.05,6.416,84.1,E,296,16.6,23.6
0,4.05,5.859,68.7,E,296,16.6,22.6
0,4.05,6.546,33.1,E,296,16.6,29.4
0,4.05,6.02,47.2,E,296,16.6,23.2
0,4.05,6.315,73.4,E,296,16.6,24.6
0,4.05,6.86,74.4,E,296,16.6,29.9
0,2.46,6.98,58.4,C,193,17.8,37.2
0,2.46,7.765,83.3,C,193,17.8,39.8
0,2.46,6.144,62.2,C,193,17.8,36.2
0,2.46,7.155,92.2,C,193,17.8,37.9
0,2.46,6.563,95.6,C,193,17.8,32.5
0,2.46,5.604,89.8,C,193,17.8,26.4
0,2.46,6.153,68.8,C,193,17.8,29.6
0,2.46,7.831,53.6,C,193,17.8,50
45,3.44,6.782,41.1,E,398,15.2,32
45,3.44,6.556,29.1,E,398,15.2,29.8
45,3.44,7.185,38.9,E,398,15.2,34.9
45,3.44,6.951,21.5,E,398,15.2,37
45,3.44,6.739,30.8,E,398,15.2,30.5
45,3.44,7.178,26.3,E,398,15.2,36.4
60,2.93,6.8,9.9,A,265,15.6,31.1
60,2.93,6.604,18.8,A,265,15.6,29.1
80,0.46,7.875,32,D,255,14.4,50
80,1.52,7.287,34.1,B,329,12.6,33.3
80,1.52,7.107,36.6,B,329,12.6,30.3
80,1.52,7.274,38.3,B,329,12.6,34.6
95,1.47,6.975,15.3,C,402,17,34.9
95,1.47,7.135,13.9,C,402,17,32.9
82.5,2.03,6.162,38.4,B,348,14.7,24.1
82.5,2.03,7.61,15.7,B,348,14.7,42.3
95,2.68,7.853,33.2,D,224,14.7,48.5
95,2.68,8.034,31.9,D,224,14.7,50
0,10.59,5.891,22.3,D,277,18.6,22.6
0,10.59,6.326,52.5,D,277,18.6,24.4
0,10.59,5.783,72.7,D,277,18.6,22.5
0,10.59,6.064,59.1,D,277,18.6,24.4
0,10.59,5.344,100,D,277,18.6,20
0,10.59,5.96,92.1,D,277,18.6,21.7
0,10.59,5.404,88.6,D,277,18.6,19.3
0,10.59,5.807,53.8,D,277,18.6,22.4
0,10.59,6.375,32.3,D,277,18.6,28.1
0,10.59,5.412,9.8,D,277,18.6,23.7
0,10.59,6.182,42.4,D,277,18.6,25
0,13.89,5.888,56,E,276,16.4,23.3
0,13.89,6.642,85.1,E,276,16.4,28.7
0,13.89,5.951,93.8,E,276,16.4,21.5
0,13.89,6.373,92.4,E,276,16.4,23
0,6.2,6.951,88.5,H,307,17.4,26.7
0,6.2,6.164,91.3,H,307,17.4,21.7
0,6.2,6.879,77.7,H,307,17.4,27.5
0,6.2,6.618,80.8,H,307,17.4,30.1
0,6.2,8.266,78.3,H,307,17.4,44.8
0,6.2,8.725,83,H,307,17.4,50
0,6.2,8.04,86.5,H,307,17.4,37.6
0,6.2,7.163,79.9,H,307,17.4,31.6
0,6.2,7.686,17,H,307,17.4,46.7
0,6.2,6.552,21.4,H,307,17.4,31.5
0,6.2,5.981,68.1,H,307,17.4,24.3
0,6.2,7.412,76.9,H,307,17.4,31.7
0,6.2,8.337,73.3,H,307,17.4,41.7
0,6.2,8.247,70.4,H,307,17.4,48.3
0,6.2,6.726,66.5,H,307,17.4,29
0,6.2,6.086,61.5,H,307,17.4,24
0,6.2,6.631,76.5,H,307,17.4,25.1
0,6.2,7.358,71.6,H,307,17.4,31.5
30,4.93,6.481,18.5,F,300,16.6,23.7
30,4.93,6.606,42.2,F,300,16.6,23.3
30,4.93,6.897,54.3,F,300,16.6,22
30,4.93,6.095,65.1,F,300,16.6,20.1
30,4.93,6.358,52.9,F,300,16.6,22.2
30,4.93,6.393,7.8,F,300,16.6,23.7
22,5.86,5.593,76.5,G,330,19.1,17.6
22,5.86,5.605,70.2,G,330,19.1,18.5
22,5.86,6.108,34.9,G,330,19.1,24.3
22,5.86,6.226,79.2,G,330,19.1,20.5
22,5.86,6.433,49.1,G,330,19.1,24.5
22,5.86,6.718,17.5,G,330,19.1,26.2
22,5.86,6.487,13,G,330,19.1,24.4
22,5.86,6.438,8.9,G,330,19.1,24.8
22,5.86,6.957,6.8,G,330,19.1,29.6
22,5.86,8.259,8.4,G,330,19.1,42.8
80,3.64,6.108,32,A,315,16.4,21.9
80,3.64,5.876,19.1,A,315,16.4,20.9
90,3.75,7.454,34.2,C,244,15.9,44
20,3.97,8.704,86.9,E,264,13,50
20,3.97,7.333,100,E,264,13,36
20,3.97,6.842,100,E,264,13,30.1
20,3.97,7.203,81.8,E,264,13,33.8
20,3.97,7.52,89.4,E,264,13,43.1
20,3.97,8.398,91.5,E,264,13,48.8
20,3.97,7.327,94.5,E,264,13,31
20,3.97,7.206,91.6,E,264,13,36.5
20,3.97,5.56,62.8,E,264,13,22.8
20,3.97,7.014,84.6,E,264,13,30.7
20,3.97,8.297,67,E,264,13,50
20,3.97,7.47,52.6,E,264,13,43.5
20,6.96,5.92,61.5,C,223,18.6,20.7
20,6.96,5.856,42.1,C,223,18.6,21.1
20,6.96,6.24,16.3,C,223,18.6,25.2
20,6.96,6.538,58.7,C,223,18.6,24.4
20,6.96,7.691,51.8,C,223,18.6,35.2
40,6.41,6.758,32.9,D,254,17.6,32.4
40,6.41,6.854,42.8,D,254,17.6,32
40,6.41,7.267,49,D,254,17.6,33.2
40,6.41,6.826,27.6,D,254,17.6,33.1
40,6.41,6.482,32.1,D,254,17.6,29.1
20,3.33,6.812,32.2,E,216,14.9,35.1
20,3.33,7.82,64.5,E,216,14.9,45.4
20,3.33,6.968,37.2,E,216,14.9,35.4
20,3.33,7.645,49.7,E,216,14.9,46
90,1.21,7.923,24.8,A,198,13.6,50
90,2.97,7.088,20.8,A,285,15.3,32.2
55,2.25,6.453,31.9,A,300,15.3,22
80,1.76,6.23,31.5,A,241,18.2,20.1
52.5,5.32,6.209,31.3,F,293,16.6,23.2
52.5,5.32,6.315,45.6,F,293,16.6,22.3
52.5,5.32,6.565,22.9,F,293,16.6,24.8
80,4.95,6.861,27.9,D,245,19.2,28.5
80,4.95,7.148,27.7,D,245,19.2,37.3
80,4.95,6.63,23.4,D,245,19.2,27.9
0,13.92,6.127,18.4,D,289,16,23.9
0,13.92,6.009,42.3,D,289,16,21.7
0,13.92,6.678,31.1,D,289,16,28.6
0,13.92,6.549,51,D,289,16,27.1
0,13.92,5.79,58,D,289,16,20.3
70,2.24,6.345,20.1,E,358,14.8,22.5
70,2.24,7.041,10,E,358,14.8,29
70,2.24,6.871,47.4,E,358,14.8,24.8
34,6.09,6.59,40.4,G,329,16.1,22
34,6.09,6.495,18.4,G,329,16.1,26.4
34,6.09,6.982,17.7,G,329,16.1,33.1
33,2.18,7.236,41.1,G,222,18.4,36.1
33,2.18,6.616,58.1,G,222,18.4,28.4
33,2.18,7.42,71.9,G,222,18.4,33.4
33,2.18,6.849,70.3,G,222,18.4,28.2
0,9.9,6.635,82.5,D,304,18.4,22.8
0,9.9,5.972,76.7,D,304,18.4,20.3
0,9.9,4.973,37.8,D,304,18.4,16.1
0,9.9,6.122,52.8,D,304,18.4,22.1
0,9.9,6.023,90.4,D,304,18.4,19.4
0,9.9,6.266,82.8,D,304,18.4,21.6
0,9.9,6.567,87.3,D,304,18.4,23.8
0,9.9,5.705,77.7,D,304,18.4,16.2
0,9.9,5.914,83.2,D,304,18.4,17.8
0,9.9,5.782,71.7,D,304,18.4,19.8
0,9.9,6.382,67.2,D,304,18.4,23.1
0,9.9,6.113,58.8,D,304,18.4,21
0,7.38,6.426,52.3,E,287,19.6,23.8
0,7.38,6.376,54.3,E,287,19.6,23.1
0,7.38,6.041,49.9,E,287,19.6,20.4
0,7.38,5.708,74.3,E,287,19.6,18.5
0,7.38,6.415,40.1,E,287,19.6,25
0,7.38,6.431,14.7,E,287,19.6,24.6
0,7.38,6.312,28.9,E,287,19.6,23
0,7.38,6.083,43.7,E,287,19.6,22.2
0,3.24,5.868,25.8,D,430,16.9,19.3
0,3.24,6.333,17.2,D,430,16.9,22.6
0,3.24,6.144,32.2,D,430,16.9,19.8
35,6.06,5.706,28.4,A,304,16.9,17.1
35,6.06,6.031,23.3,A,304,16.9,19.4
0,5.19,6.316,38.1,E,224,20.2,22.2
0,5.19,6.31,38.5,E,224,20.2,20.7
0,5.19,6.037,34.5,E,224,20.2,21.1
0,5.19,5.869,46.3,E,224,20.2,19.5
0,5.19,5.895,59.6,E,224,20.2,18.5
0,5.19,6.059,37.3,E,224,20.2,20.6
0,5.19,5.985,45.4,E,224,20.2,19
0,5.19,5.968,58.5,E,224,20.2,18.7
35,1.52,7.241,49.3,A,284,15.5,32.7
0,1.89,6.54,59.7,A,422,15.9,16.5
55,3.78,6.696,56.4,E,370,17.6,23.9
55,3.78,6.874,28.1,E,370,17.6,31.2
0,4.39,6.014,48.5,C,352,18.8,17.5
0,4.39,5.898,52.3,C,352,18.8,17.2
85,4.15,6.516,27.7,D,351,17.9,23.1
80,2.01,6.635,29.7,D,280,17,24.5
40,1.25,6.939,34.5,A,335,19.7,26.6
40,1.25,6.49,44.4,A,335,19.7,22.9
60,1.69,6.579,35.9,D,411,18.3,24.1
60,1.69,5.884,18.5,D,411,18.3,18.6
90,2.02,6.728,36.1,E,187,17,30.1
80,1.91,5.663,21.9,D,334,22,18.2
80,1.91,5.936,19.5,D,334,22,20.6
0,18.1,6.212,97.4,TT,666,20.2,17.8
0,18.1,6.395,91,TT,666,20.2,21.7
0,18.1,6.127,83.4,TT,666,20.2,22.7
0,18.1,6.112,81.3,TT,666,20.2,22.6
0,18.1,6.398,88,TT,666,20.2,25
0,18.1,6.251,91.1,TT,666,20.2,19.9
0,18.1,5.362,96.2,TT,666,20.2,20.8
0,18.1,5.803,89,TT,666,20.2,16.8
0,18.1,8.78,82.9,TT,666,20.2,21.9
0,18.1,3.561,87.9,TT,666,20.2,27.5
0,18.1,4.963,91.4,TT,666,20.2,21.9
0,18.1,3.863,100,TT,666,20.2,23.1
0,18.1,4.97,100,TT,666,20.2,50
0,18.1,6.683,96.8,TT,666,20.2,50
0,18.1,7.016,97.5,TT,666,20.2,50
0,18.1,6.216,100,TT,666,20.2,50
0,18.1,5.875,89.6,TT,666,20.2,50
0,18.1,4.906,100,TT,666,20.2,13.8
0,18.1,4.138,100,TT,666,20.2,13.8
0,18.1,7.313,97.9,TT,666,20.2,15
0,18.1,6.649,93.3,TT,666,20.2,13.9
0,18.1,6.794,98.8,TT,666,20.2,13.3
0,18.1,6.38,96.2,TT,666,20.2,13.1
0,18.1,6.223,100,TT,666,20.2,10.2
0,18.1,6.968,91.9,TT,666,20.2,10.4
0,18.1,6.545,99.1,TT,666,20.2,10.9
0,18.1,5.536,100,TT,666,20.2,11.3
0,18.1,5.52,100,TT,666,20.2,12.3
0,18.1,4.368,91.2,TT,666,20.2,8.8
0,18.1,5.277,98.1,TT,666,20.2,7.2
0,18.1,4.652,100,TT,666,20.2,10.5
0,18.1,5,89.5,TT,666,20.2,7.4
0,18.1,4.88,100,TT,666,20.2,10.2
0,18.1,5.39,98.9,TT,666,20.2,11.5
0,18.1,5.713,97,TT,666,20.2,15.1
0,18.1,6.051,82.5,TT,666,20.2,23.2
0,18.1,5.036,97,TT,666,20.2,9.7
0,18.1,6.193,92.6,TT,666,20.2,13.8
0,18.1,5.887,94.7,TT,666,20.2,12.7
0,18.1,6.471,98.8,TT,666,20.2,13.1
0,18.1,6.405,96,TT,666,20.2,12.5
0,18.1,5.747,98.9,TT,666,20.2,8.5
0,18.1,5.453,100,TT,666,20.2,5
0,18.1,5.852,77.8,TT,666,20.2,6.3
0,18.1,5.987,100,TT,666,20.2,5.6
0,18.1,6.343,100,TT,666,20.2,7.2
0,18.1,6.404,100,TT,666,20.2,12.1
0,18.1,5.349,96,TT,666,20.2,8.3
0,18.1,5.531,85.4,TT,666,20.2,8.5
0,18.1,5.683,100,TT,666,20.2,5
0,18.1,4.138,100,TT,666,20.2,11.9
0,18.1,5.608,100,TT,666,20.2,27.9
0,18.1,5.617,97.9,TT,666,20.2,17.2
0,18.1,6.852,100,TT,666,20.2,27.5
0,18.1,5.757,100,TT,666,20.2,15
0,18.1,6.657,100,TT,666,20.2,17.2
0,18.1,4.628,100,TT,666,20.2,17.9
0,18.1,5.155,100,TT,666,20.2,16.3
0,18.1,4.519,100,TT,666,20.2,7
0,18.1,6.434,100,TT,666,20.2,7.2
0,18.1,6.782,90.8,TT,666,20.2,7.5
0,18.1,5.304,89.1,TT,666,20.2,10.4
0,18.1,5.957,100,TT,666,20.2,8.8
0,18.1,6.824,76.5,TT,666,20.2,8.4
0,18.1,6.411,100,TT,666,20.2,16.7
0,18.1,6.006,95.3,TT,666,20.2,14.2
0,18.1,5.648,87.6,TT,666,20.2,20.8
0,18.1,6.103,85.1,TT,666,20.2,13.4
0,18.1,5.565,70.6,TT,666,20.2,11.7
0,18.1,5.896,95.4,TT,666,20.2,8.3
0,18.1,5.837,59.7,TT,666,20.2,10.2
0,18.1,6.202,78.7,TT,666,20.2,10.9
0,18.1,6.193,78.1,TT,666,20.2,11
0,18.1,6.38,95.6,TT,666,20.2,9.5
0,18.1,6.348,86.1,TT,666,20.2,14.5
0,18.1,6.833,94.3,TT,666,20.2,14.1
0,18.1,6.425,74.8,TT,666,20.2,16.1
0,18.1,6.436,87.9,TT,666,20.2,14.3
0,18.1,6.208,95,TT,666,20.2,11.7
0,18.1,6.629,94.6,TT,666,20.2,13.4
0,18.1,6.461,93.3,TT,666,20.2,9.6
0,18.1,6.152,100,TT,666,20.2,8.7
0,18.1,5.935,87.9,TT,666,20.2,8.4
0,18.1,5.627,93.9,TT,666,20.2,12.8
0,18.1,5.818,92.4,TT,666,20.2,10.5
0,18.1,6.406,97.2,TT,666,20.2,17.1
0,18.1,6.219,100,TT,666,20.2,18.4
0,18.1,6.485,100,TT,666,20.2,15.4
0,18.1,5.854,96.6,TT,666,20.2,10.8
0,18.1,6.459,94.8,TT,666,20.2,11.8
0,18.1,6.341,96.4,TT,666,20.2,14.9
0,18.1,6.251,96.6,TT,666,20.2,12.6
0,18.1,6.185,98.7,TT,666,20.2,14.1
0,18.1,6.417,98.3,TT,666,20.2,13
0,18.1,6.749,92.6,TT,666,20.2,13.4
0,18.1,6.655,98.2,TT,666,20.2,15.2
0,18.1,6.297,91.8,TT,666,20.2,16.1
0,18.1,7.393,99.3,TT,666,20.2,17.8
0,18.1,6.728,94.1,TT,666,20.2,14.9
0,18.1,6.525,86.5,TT,666,20.2,14.1
0,18.1,5.976,87.9,TT,666,20.2,12.7
0,18.1,5.936,80.3,TT,666,20.2,13.5
0,18.1,6.301,83.7,TT,666,20.2,14.9
0,18.1,6.081,84.4,TT,666,20.2,20
0,18.1,6.701,90,TT,666,20.2,16.4
0,18.1,6.376,88.4,TT,666,20.2,17.7
0,18.1,6.317,83,TT,666,20.2,19.5
0,18.1,6.513,89.9,TT,666,20.2,20.2
0,18.1,6.209,65.4,TT,666,20.2,21.4
0,18.1,5.759,48.2,TT,666,20.2,19.9
0,18.1,5.952,84.7,TT,666,20.2,19
0,18.1,6.003,94.5,TT,666,20.2,19.1
0,18.1,5.926,71,TT,666,20.2,19.1
0,18.1,5.713,56.7,TT,666,20.2,20.1
0,18.1,6.167,84,TT,666,20.2,19.9
0,18.1,6.229,90.7,TT,666,20.2,19.6
0,18.1,6.437,75,TT,666,20.2,23.2
0,18.1,6.98,67.6,TT,666,20.2,29.8
0,18.1,5.427,95.4,TT,666,20.2,13.8
0,18.1,6.162,97.4,TT,666,20.2,13.3
0,18.1,6.484,93.6,TT,666,20.2,16.7
0,18.1,5.304,97.3,TT,666,20.2,12
0,18.1,6.185,96.7,TT,666,20.2,14.6
0,18.1,6.229,88,TT,666,20.2,21.4
0,18.1,6.242,64.7,TT,666,20.2,23
0,18.1,6.75,74.9,TT,666,20.2,23.7
0,18.1,7.061,77,TT,666,20.2,25
0,18.1,5.762,40.3,TT,666,20.2,21.8
0,18.1,5.871,41.9,TT,666,20.2,20.6
0,18.1,6.312,51.9,TT,666,20.2,21.2
0,18.1,6.114,79.8,TT,666,20.2,19.1
0,18.1,5.905,53.2,TT,666,20.2,20.6
0,27.74,5.454,92.7,D,711,20.1,15.2
0,27.74,5.414,98.3,D,711,20.1,7
0,27.74,5.093,98,D,711,20.1,8.1
0,27.74,5.983,98.8,D,711,20.1,13.6
0,27.74,5.983,83.5,D,711,20.1,20.1
0,9.69,5.707,54,F,391,19.2,21.8
0,9.69,5.926,42.6,F,391,19.2,24.5
0,9.69,5.67,28.8,F,391,19.2,23.1
0,9.69,5.39,72.9,F,391,19.2,19.7
0,9.69,5.794,70.6,F,391,19.2,18.3
0,9.69,6.019,65.3,F,391,19.2,21.2
0,9.69,5.569,73.5,F,391,19.2,17.5
0,9.69,6.027,79.7,F,391,19.2,16.8
0,11.93,6.593,69.1,A,273,21,22.4
0,11.93,6.12,76.7,A,273,21,20.6
0,11.93,6.976,91,A,273,21,23.9
0,11.93,6.794,89.3,A,273,21,22
0,11.93,6.03,80.8,A,273,21,11.9
